index,lon,lat,elevation_m,at_risk
4375,-15.5114188,28.128676,193.0,False
4376,-15.5125833,28.125961,218.0,False
4377,-15.5138036,28.1233687,238.0,False
4378,-15.528883,28.0966562,404.0,False
4379,-15.5330685,28.1008529,357.0,False
4380,-15.5286579,28.1041532,298.0,False
4381,-15.5369422,28.0993024,463.0,False
4382,-15.5431145,28.091893,618.0,False
4383,-15.5366901,28.085713,536.0,False
4384,-15.5331478,28.087733,592.0,False
4385,-15.5404829,28.0892373,586.0,False
4386,-15.5479996,28.0931109,551.0,False
4387,-15.5194175,28.1154015,229.0,False
4388,-15.4825139,28.0554997,444.0,False
4389,-15.4717296,28.0587909,320.0,False
4390,-15.4664883,28.0613042,291.0,False
4391,-15.4626356,28.0678318,258.0,False
4392,-15.4719439,28.0715605,265.0,False
4393,-15.4807313,28.0775138,258.0,False
4394,-15.4893596,28.0748498,343.0,False
4395,-15.4985721,28.0935244,315.0,False
4396,-15.4790334,28.0881364,231.0,False
4397,-15.4613384,28.0899636,210.0,False
4398,-15.4619281,28.0831358,264.0,False
4399,-15.4147969,28.0335429,53.0,False
4400,-15.4195549,28.04278,127.0,False
4401,-15.4283331,28.0419445,92.0,False
4402,-15.4256437,28.0399394,90.0,False
4403,-15.4402266,28.0468884,257.0,False
4404,-15.4582624,28.0491523,374.0,False
4405,-15.4910338,28.0542373,537.0,False
4406,-15.5098574,28.0518592,656.0,False
4407,-15.4389547,28.0885529,147.0,False
4408,-15.4431451,28.0834877,212.0,False
4409,-15.4520603,28.0773317,276.0,False
4410,-15.445559,28.0749364,279.0,False
4411,-15.4547889,28.0712587,321.0,False
4412,-15.4552567,28.0634067,380.0,False
4413,-15.4481067,28.0631954,296.0,False
4414,-15.4539954,28.0601659,357.0,False
4415,-15.4497661,28.0577556,329.0,False
4416,-15.4799517,28.1327714,68.0,False
4417,-15.4863585,28.1272785,93.0,False
4418,-15.482481,28.1244878,216.0,False
4419,-15.4831662,28.119024,149.0,False
4420,-15.4818347,28.1011027,230.0,False
4421,-15.4828821,28.0979722,229.0,False
4422,-15.4689765,28.1025573,202.0,False
4423,-15.4623692,28.1016089,192.0,False
4424,-16.2599332,28.4699819,70.0,False
4425,-15.6290613,27.7904988,239.0,False
4426,-15.6743083,27.7562436,0.0,True
4427,-13.7594942,28.9050602,131.0,False
4428,-13.7686672,28.8971631,209.0,False
4429,-13.7760441,28.8916725,266.0,False
4430,-13.7614962,28.8946648,140.0,False
4431,-13.6637081,29.0517764,0.0,True
4432,-13.660121,29.0559285,0.0,True
4433,-13.7028871,29.0850402,0.0,True
4434,-13.679789,29.0935155,0.0,True
4435,-13.6821656,29.0334655,0.0,True
4436,-13.6905245,29.0600264,0.0,True
4437,-13.6561622,29.0876832,0.0,True
4438,-13.6381924,29.0971013,0.0,True
4439,-13.6600853,29.1056294,0.0,True
4440,-13.6583889,29.0938472,0.0,True
4441,-13.4964939,29.196428,0.0,True
4442,-13.4945917,29.1928939,0.0,True
4443,-13.4999638,29.1910601,0.0,True
4444,-13.5031991,29.1852214,0.0,True
4445,-13.5077623,29.1804996,0.0,True
4446,-13.4953205,29.1770232,0.0,True
4447,-13.7019654,29.0455045,0.0,True
4448,-13.7402259,29.0485931,0.0,True
4449,-13.6832792,29.0393486,0.0,True
4450,-13.6600686,29.0210089,0.0,True
4451,-13.4506296,29.2077595,0.0,True
4452,-13.4475627,29.2046318,0.0,True
4453,-13.4586411,29.1991751,0.0,True
4454,-13.4709401,29.1943874,0.0,True
4455,-13.4697587,29.1911773,0.0,True
4456,-13.486345,29.1779534,0.0,True
4457,-13.489365,29.1559552,0.0,True
4458,-13.5107942,29.1369866,0.0,True
4459,-13.5102184,29.1320049,0.0,True
4460,-13.5280566,29.1125397,0.0,True
4461,-13.5291362,29.1104959,0.0,True
4462,-13.5341982,29.0989706,0.0,True
4463,-13.5345033,29.0901105,0.0,True
4464,-13.5401887,29.0754787,0.0,True
4465,-13.5474832,29.0706034,0.0,True
4466,-13.4851997,29.1602747,0.0,True
4467,-13.4799956,29.1658444,0.0,True
4468,-13.4714646,29.1619915,0.0,True
4469,-13.4665274,29.1722605,0.0,True
4470,-13.4654066,29.1751034,0.0,True
4471,-13.4516448,29.1755849,0.0,True
4472,-13.4455245,29.1845556,0.0,True
4473,-13.4556568,29.1901862,0.0,True
4474,-13.4675422,29.2116308,0.0,True
4475,-13.4783751,29.2103752,0.0,True
4476,-13.4871521,29.2061302,0.0,True
4477,-13.4805238,29.2024982,0.0,True
4478,-13.489431,29.198527,0.0,True
4479,-13.4757544,29.2015024,0.0,True
4480,-13.4661809,29.2019036,0.0,True
4481,-13.4816612,29.1864918,0.0,True
4482,-13.4875709,29.1906494,0.0,True
4483,-13.4859014,29.1688832,0.0,True
4484,-13.4995823,29.1634171,0.0,True
4485,-13.5053925,29.1651836,0.0,True
4486,-13.5066991,29.1561601,0.0,True
4487,-13.5131095,29.1598752,0.0,True
4488,-13.5121625,29.1625851,0.0,True
4489,-13.5080613,29.1727943,0.0,True
4490,-13.5241559,29.1289123,0.0,True
4491,-13.5218808,29.1355241,0.0,True
4492,-13.5199906,29.1418278,0.0,True
4493,-13.5109142,29.144834,0.0,True
4494,-13.4970307,29.1432894,0.0,True
4495,-13.4799793,29.1381377,0.0,True
4496,-13.4825004,29.1323852,0.0,True
4497,-13.480517,29.1293289,0.0,True
4498,-13.4942563,29.1345872,0.0,True
4499,-13.4650431,29.1397334,0.0,True
4500,-13.4631407,29.1456904,0.0,True
4501,-13.4675244,29.1478409,0.0,True
4502,-13.4792566,29.1499079,0.0,True
4503,-13.4814113,29.1460929,0.0,True
4504,-13.4881897,29.1427426,0.0,True
4505,-13.5191748,29.2659592,0.0,True
4506,-13.5002042,29.279819,0.0,True
4507,-13.4906149,29.2785517,0.0,True
4508,-13.485239,29.2757188,0.0,True
4509,-13.4817434,29.2676073,0.0,True
4510,-13.4956403,29.2471321,0.0,True
4511,-13.5009113,29.2396546,0.0,True
4512,-13.5033984,29.235815,0.0,True
4513,-13.5067905,29.2433272,0.0,True
4514,-13.5329471,29.2251166,0.0,True
4515,-13.5303813,29.236662,0.0,True
4516,-13.5187575,29.2454808,0.0,True
4517,-13.5204755,29.2485468,0.0,True
4518,-13.5107369,29.2345302,0.0,True
4519,-13.4770999,29.1934913,0.0,True
4520,-13.5033255,29.1815009,0.0,True
4521,-13.5517334,29.1104254,0.0,True
4522,-13.5296958,29.1213294,0.0,True
4523,-13.5296624,29.1196261,0.0,True
4524,-13.5274628,29.1236585,0.0,True
4525,-13.5308955,29.117639,0.0,True
4526,-13.6234124,29.1225595,0.0,True
4527,-13.6310357,29.1068536,0.0,True
4528,-13.63082,29.1150149,0.0,True
4529,-13.5455261,29.09996,0.0,True
4530,-13.470382,29.066235,0.0,True
4531,-13.4968995,29.0463285,0.0,True
4532,-13.4917571,29.0541614,0.0,True
4533,-13.4834203,29.0626236,0.0,True
4534,-13.4954961,29.0984835,0.0,True
4535,-13.7700149,28.9152842,334.0,False
4536,-13.7189618,28.9177459,113.0,False
4537,-13.5285334,29.0160564,0.0,True
4538,-13.4878715,29.0796519,0.0,True
4539,-13.4863752,29.0874499,0.0,True
4540,-13.4889419,29.0960299,0.0,True
4541,-13.6015032,29.1141822,0.0,True
4542,-13.6013508,29.1117931,0.0,True
4543,-13.7674165,28.9991398,263.0,False
4544,-13.769965,28.9681942,180.0,False
4545,-13.708089,29.0486771,0.0,True
4546,-13.7325952,29.0291148,0.0,True
4547,-13.7235677,29.0269136,0.0,True
4548,-13.4818023,29.2227943,0.0,True
4549,-13.4697709,29.2232101,0.0,True
4550,-13.4692078,29.2202519,0.0,True
4551,-13.7835331,28.8486758,28.0,False
4552,-13.7659925,28.8684029,109.0,False
4553,-13.8770993,28.8859704,0.0,True
4554,-13.8538266,28.9036353,29.0,False
4555,-13.818227,28.9300802,49.0,False
4556,-16.1530467,28.5245521,0.0,True
4557,-13.7782494,28.9499814,181.0,False
4558,-13.7871536,28.9448374,116.0,False
4559,-13.7699499,28.9471022,293.0,False
4560,-13.748656,29.0355843,0.0,True
4561,-13.7427492,29.030743,0.0,True
4562,-13.7271847,29.0486437,0.0,True
4563,-13.7321067,29.0600836,0.0,True
4564,-13.7392049,29.0615186,0.0,True
4565,-13.674932,28.9925372,342.0,False
4566,-13.6699839,28.9948873,338.0,False
4567,-16.3018766,28.5246722,813.0,False
4568,-16.4418937,28.2322082,416.0,False
4569,-15.5270257,28.1543491,0.0,True
4570,-15.6798501,28.0741838,640.0,False
4571,-13.6718365,28.9210819,0.0,True
4572,-17.2933627,28.136717,980.0,False
4573,-17.3437767,28.1106355,0.0,True
4574,-17.3429753,28.1231545,149.0,False
4575,-17.334882,28.1508709,555.0,False
4576,-17.3377382,28.157775,80.0,False
4577,-17.3394277,28.1027418,533.0,False
4578,-17.3271691,28.1470809,462.0,False
4579,-17.3450995,28.1521482,0.0,True
4580,-17.3169824,28.1705561,334.0,False
4581,-17.2829356,28.2075215,303.0,False
4582,-17.244248,28.1891221,360.0,False
4583,-17.2600718,28.1764901,263.0,False
4584,-17.2587639,28.1308697,1208.0,False
4585,-17.2624578,28.1279524,1272.0,False
4586,-17.1510541,28.1515647,511.0,False
4587,-17.1927518,28.0655032,555.0,False
4588,-17.1592024,28.0958549,675.0,False
4589,-17.124572,28.141292,334.0,False
4590,-17.116874,28.1412237,288.0,False
4591,-17.1620932,28.1438597,649.0,False
4592,-17.2387408,28.1113876,1318.0,False
4593,-17.2630731,28.1297801,1219.0,False
4594,-17.2631971,28.1249003,1236.0,False
4595,-17.215475,28.1338521,877.0,False
4596,-17.2774636,28.2058864,592.0,False
4597,-17.3039844,28.1860975,503.0,False
4598,-17.3278476,28.0916329,596.0,False
4599,-17.2156204,28.0404282,342.0,False
4600,-17.1237982,28.0825728,140.0,False
4601,-17.1267885,28.081032,224.0,False
4602,-17.1308268,28.0791449,154.0,False
4603,-17.1741324,28.0485365,236.0,False
4604,-17.3091327,28.0677017,119.0,False
4605,-17.3147552,28.072622,300.0,False
4606,-17.314673,28.0700525,325.0,False
4607,-17.3245557,28.158272,262.0,False
4608,-17.8361496,28.61364,1459.0,False
4609,-17.2935213,28.1975504,505.0,False
4610,-17.2785589,28.1884679,662.0,False
4611,-17.2956226,28.0915319,770.0,False
4612,-17.269242,28.0542844,467.0,False
4613,-17.2705834,28.046804,370.0,False
4614,-17.2882485,28.0441739,203.0,False
4615,-17.1880291,28.1641828,190.0,False
4616,-17.1819985,28.1663042,286.0,False
4617,-17.1441486,28.1531432,363.0,False
4618,-17.1252018,28.1204315,277.0,False
4619,-13.6741738,29.1064226,0.0,True
4620,-13.6820102,29.1006997,0.0,True
4621,-13.6806819,29.0984954,0.0,True
4622,-13.6729077,29.0987183,0.0,True
4623,-13.6759977,29.0881822,0.0,True
4624,-13.6666435,29.0903297,0.0,True
4625,-13.5062743,29.1978672,0.0,True
4626,-13.5036197,29.2025358,0.0,True
4627,-13.8323258,28.9943406,0.0,True
4628,-13.8337622,28.9894792,1.0,True
4629,-13.8246283,29.0045914,0.0,True
4630,-13.8301064,29.002762,0.0,True
4631,-13.829362,29.0078552,0.0,True
4632,-13.8275755,29.0098541,0.0,True
4633,-13.8266735,29.012144,0.0,True
4634,-13.8248783,29.0138059,0.0,True
4635,-13.8237924,29.0158812,0.0,True
4636,-13.8223649,29.0182476,0.0,True
4637,-13.8215943,29.019894,0.0,True
4638,-17.191414,28.1144899,709.0,False
4639,-17.2011569,28.1242383,1101.0,False
4640,-17.1503448,28.115786,342.0,False
4641,-17.2290815,28.0419384,483.0,False
4642,-13.7708775,28.9239034,407.0,False
4643,-13.768267,28.9186711,311.0,False
4644,-13.4769628,29.1726371,0.0,True
4645,-13.5011914,29.1881417,0.0,True
4646,-13.7757362,28.9362822,252.0,False
4647,-17.120974,28.0906261,85.0,False
4648,-17.1185644,28.0916265,62.0,False
4649,-17.1230752,28.0764115,188.0,False
4650,-17.2097408,28.0420904,340.0,False
4651,-17.2718087,28.0620406,393.0,False
4652,-17.2871204,28.0540335,232.0,False
4653,-17.2925498,28.1513256,928.0,False
4654,-17.3214117,28.1556842,352.0,False
4655,-17.3213888,28.1600834,274.0,False
4656,-17.2823483,28.1961088,607.0,False
4657,-17.2266698,28.1878996,692.0,False
4658,-17.3256141,28.1314781,616.0,False
4659,-17.3102968,28.144078,962.0,False
4660,-17.2408843,28.0594726,778.0,False
4661,-17.1619207,28.1057115,393.0,False
4662,-17.1323466,28.1216627,456.0,False
4663,-17.1352616,28.1221701,543.0,False
4664,-17.142925,28.1241988,445.0,False
4665,-17.1257879,28.1303551,316.0,False
4666,-17.1108599,28.1179937,124.0,False
4667,-17.1677928,28.153375,827.0,False
4668,-17.167258,28.1452803,757.0,False
4669,-17.1596683,28.1470538,673.0,False
4670,-17.1243425,28.1121598,311.0,False
4671,-17.1596814,28.1379929,594.0,False
4672,-17.1597542,28.1280902,639.0,False
4673,-17.1401178,28.1018988,348.0,False
4674,-17.1408582,28.1193646,359.0,False
4675,-17.1553526,28.1101263,219.0,False
4676,-17.1585606,28.15634,696.0,False
4677,-17.1950667,28.1910579,167.0,False
4678,-17.2234427,28.1753542,794.0,False
4679,-17.2315567,28.1863581,584.0,False
4680,-17.2539365,28.1812932,379.0,False
4681,-17.1878339,28.0902409,694.0,False
4682,-17.2819497,28.1433095,960.0,False
4683,-17.2642555,28.1675845,349.0,False
4684,-17.2490847,28.1892386,249.0,False
4685,-17.240026,28.1853399,420.0,False
4686,-17.2357041,28.1911742,454.0,False
4687,-17.2638061,28.1888423,175.0,False
4688,-17.2568938,28.1975787,80.0,False
4689,-17.2974241,28.1349512,993.0,False
4690,-17.2943359,28.1002186,840.0,False
4691,-17.2933401,28.1021027,910.0,False
4692,-17.276086,28.1069863,1108.0,False
4693,-17.2839273,28.0768221,518.0,False
4694,-17.25114,28.0853016,1059.0,False
4695,-17.2557819,28.0830293,925.0,False
4696,-17.1915795,28.1107826,475.0,False
4697,-17.1975887,28.113215,596.0,False
4698,-17.1997375,28.1173975,693.0,False
4699,-17.2054209,28.1183073,732.0,False
4700,-17.2299819,28.1608984,886.0,False
4701,-17.2247595,28.1573746,811.0,False
4702,-17.236641,28.1586773,966.0,False
4703,-17.2376351,28.1576928,910.0,False
4704,-17.1513382,28.1458447,524.0,False
4705,-17.1125853,28.0986536,162.0,False
4706,-17.2684711,28.1231831,1178.0,False
4707,-17.3015374,28.1234827,890.0,False
4708,-17.2660451,28.1172381,1266.0,False
4709,-17.2550536,28.1174797,1304.0,False
4710,-17.2703045,28.1143048,1120.0,False
4711,-17.2588475,28.1231369,1223.0,False
4712,-17.2318534,28.1002497,1006.0,False
4713,-17.2362767,28.086876,957.0,False
4714,-17.2455266,28.0912094,1180.0,False
4715,-17.2261928,28.083931,671.0,False
4716,-17.2359838,28.067431,931.0,False
4717,-17.2171316,28.0513723,525.0,False
4718,-17.2111487,28.058154,199.0,False
4719,-17.2287214,28.0694313,433.0,False
4720,-17.2206783,28.0666205,316.0,False
4721,-17.1968041,28.1943898,187.0,False
4722,-17.2339935,28.1182449,1155.0,False
4723,-17.2057372,28.1320831,634.0,False
4724,-17.1681279,28.154659,757.0,False
4725,-17.1737363,28.1570857,456.0,False
4726,-17.1887826,28.1498202,471.0,False
4727,-17.1857404,28.1491005,500.0,False
4728,-17.1861033,28.1382896,747.0,False
4729,-17.1833984,28.1373028,1001.0,False
4730,-17.1233131,28.1366756,272.0,False
4731,-17.206136,28.1440725,476.0,False
4732,-17.214103,28.1588727,710.0,False
4733,-17.2170193,28.1644175,795.0,False
4734,-17.2119386,28.1701788,724.0,False
4735,-17.2091734,28.1679546,688.0,False
4736,-17.2134905,28.1556449,823.0,False
4737,-17.2377884,28.1342385,1141.0,False
4738,-17.2442219,28.1346061,1052.0,False
4739,-17.2435062,28.1289049,1114.0,False
4740,-17.2426017,28.1226485,1218.0,False
4741,-17.2449259,28.1493444,1012.0,False
4742,-17.2881605,28.1340182,1067.0,False
4743,-17.8250055,28.6690931,1293.0,False
4744,-17.8191418,28.66792,1046.0,False
4745,-17.8028616,28.6654663,607.0,False
4746,-17.8000739,28.6669615,517.0,False
4747,-17.7997593,28.6745981,624.0,False
4748,-17.7891156,28.6834301,415.0,False
4749,-17.7991913,28.6898927,713.0,False
4750,-17.7956419,28.7047002,790.0,False
4751,-17.8281025,28.6801543,1647.0,False
4752,-17.8074015,28.6992044,1031.0,False
4753,-17.8485364,28.6380782,992.0,False
4754,-17.8021145,28.6345027,677.0,False
4755,-17.8033434,28.6418627,606.0,False
4756,-17.8004019,28.6589889,568.0,False
4757,-17.8891652,28.7085726,635.0,False
4758,-17.9033914,28.7109002,1054.0,False
4759,-17.8408483,28.5209404,1197.0,False
4760,-17.832424,28.5131235,953.0,False
4761,-17.8294764,28.5133896,889.0,False
4762,-17.851456,28.6786258,1136.0,False
4763,-17.8543577,28.683384,1271.0,False
4764,-17.8989804,28.7863009,1425.0,False
4765,-17.8995609,28.7980234,1090.0,False
4766,-17.9006027,28.8142252,945.0,False
4767,-17.8878006,28.8362347,354.0,False
4768,-17.8976912,28.8234334,789.0,False
4769,-17.873186,28.6907881,1697.0,False
4770,-17.821462,28.716497,1637.0,False
4771,-17.8860954,28.7508836,2156.0,False
4772,-17.880254,28.7498646,2070.0,False
4773,-17.8765872,28.7581018,2094.0,False
4774,-17.8381779,28.458826,39.0,False
4775,-17.8522437,28.465469,0.0,True
4776,-17.8417021,28.7030577,1905.0,False
4777,-17.8314745,28.6852555,1810.0,False
4778,-17.9650317,28.7853459,735.0,False
4779,-17.9801668,28.7924801,328.0,False
4780,-17.8302935,28.7929146,1269.0,False
4781,-17.8268096,28.797618,1178.0,False
4782,-17.8213954,28.8027161,1057.0,False
4783,-17.8222159,28.813165,696.0,False
4784,-17.8207161,28.8105838,812.0,False
4785,-17.8209313,28.8214562,557.0,False
4786,-17.8392712,28.8328733,252.0,False
4787,-17.8559057,28.7699115,2002.0,False
4788,-17.9431726,28.7845247,1062.0,False
4789,-17.9343207,28.7767664,1265.0,False
4790,-17.9461223,28.7702601,1145.0,False
4791,-17.8267858,28.6776229,1483.0,False
4792,-17.7943873,28.6848438,548.0,False
4793,-17.7939019,28.6554156,415.0,False
4794,-17.8185928,28.6145945,1225.0,False
4795,-17.8004493,28.6546759,536.0,False
4796,-17.8144515,28.5721696,1288.0,False
4797,-17.7932745,28.7988904,635.0,False
4798,-17.7932745,28.8015342,438.0,False
4799,-17.8079785,28.7906494,854.0,False
4800,-17.8174687,28.7858474,1012.0,False
4801,-17.8430382,28.7641936,2032.0,False
4802,-17.8566531,28.7591147,2243.0,False
4803,-17.8090984,28.8026547,825.0,False
4804,-17.7956473,28.83701,275.0,False
4805,-17.8321641,28.7994224,943.0,False
4806,-17.8329943,28.7957541,1070.0,False
4807,-17.8394349,28.786311,1364.0,False
4808,-17.8487684,28.7959369,1253.0,False
4809,-17.8485412,28.7922838,1391.0,False
4810,-17.8599719,28.8048324,962.0,False
4811,-17.8659635,28.7725678,1866.0,False
4812,-17.8636429,28.7813301,1608.0,False
4813,-17.8661895,28.7880775,1448.0,False
4814,-17.8679811,28.8285994,278.0,False
4815,-17.8689065,28.834538,60.0,False
4816,-17.8869034,28.802679,1032.0,False
4817,-17.8788329,28.8348364,240.0,False
4818,-17.8981762,28.8338055,494.0,False
4819,-17.9022895,28.8374562,450.0,False
