time,latitude,longitude,degree_heating_week
UTC,degrees_north,degrees_east,degree_Celsius_weeks
1996-09-27T12:00:00Z,-17.425,178.475,0.0
1996-09-27T12:00:00Z,-17.425,178.525,0.0
1996-09-27T12:00:00Z,-17.425,178.575,0.0
1996-09-27T12:00:00Z,-17.425,178.625,0.0
1996-09-27T12:00:00Z,-17.475,178.375,0.0
1996-09-27T12:00:00Z,-17.475,178.425,0.0
1996-09-27T12:00:00Z,-17.475,178.475,0.0
1996-09-27T12:00:00Z,-17.475,178.525,0.0
1996-09-27T12:00:00Z,-17.475,178.575,0.0
1996-09-27T12:00:00Z,-17.475,178.625,0.0
1996-09-27T12:00:00Z,-17.525,178.375,0.0
1996-09-27T12:00:00Z,-17.525,178.425,0.0
1996-09-27T12:00:00Z,-17.525,178.475,0.0
1996-09-27T12:00:00Z,-17.525,178.525,0.0
1996-09-27T12:00:00Z,-17.525,178.575,0.0
1996-09-27T12:00:00Z,-17.525,178.625,0.0
1996-09-27T12:00:00Z,-17.575,178.375,0.0
1996-09-27T12:00:00Z,-17.575,178.425,0.0
1996-09-27T12:00:00Z,-17.575,178.475,0.0
1996-09-27T12:00:00Z,-17.575,178.525,0.0
1996-09-27T12:00:00Z,-17.575,178.575,0.0
1996-09-27T12:00:00Z,-17.575,178.625,0.0
1996-09-27T12:00:00Z,-17.625,178.375,NaN
1996-09-27T12:00:00Z,-17.625,178.425,NaN
1996-09-27T12:00:00Z,-17.625,178.475,NaN
1996-09-27T12:00:00Z,-17.625,178.525,0.0
1996-09-27T12:00:00Z,-17.625,178.575,0.0
1996-09-27T12:00:00Z,-17.625,178.625,0.0
1996-09-27T12:00:00Z,-17.675,178.375,NaN
1996-09-27T12:00:00Z,-17.675,178.425,NaN
1996-09-27T12:00:00Z,-17.675,178.475,NaN
1996-09-27T12:00:00Z,-17.675,178.525,NaN
1996-09-27T12:00:00Z,-17.675,178.575,0.0
1996-09-27T12:00:00Z,-17.675,178.625,0.0
1996-10-27T12:00:00Z,-17.325,178.375,0.0
1996-10-27T12:00:00Z,-17.325,178.425,0.0
1996-10-27T12:00:00Z,-17.325,178.475,0.0
1996-10-27T12:00:00Z,-17.325,178.525,0.0
1996-10-27T12:00:00Z,-17.325,178.575,0.0
1996-10-27T12:00:00Z,-17.325,178.625,0.0
