name,place,lon,lat,elevation_m,at_risk
Rocas Rojas,suburb,-15.5428439,27.7733728,40.0,False
Casas del Sol,neighbourhood,-13.8360949,28.860953,15.0,False
Lomo de Tomás Pérez,locality,-16.7264314,28.1854186,1293.0,False
Lomo las Cruces,locality,-16.7230997,28.188547,1388.0,False
Morra de Tafosaya,locality,-16.7112061,28.2125242,1844.0,False
Plaza Ingeniero Manuel Becerra,square,-15.4218996,28.1501487,12.0,False
Los Colgados,locality,-16.717501,28.1839662,1424.0,False
Melgarejo,locality,-16.7297766,28.2124945,1436.0,False
Plaza de San Antonio de Texas,square,-16.2516469,28.4725197,54.0,False
La Plazoleta,square,-16.6489368,28.3941207,66.0,False
Plaza de la Constitución,square,-16.6474132,28.3945925,58.0,False
Plaza de Doña Dolores Díaz Hernández,square,-16.6493828,28.3930125,72.0,False
Unnamed settlement,square,-16.2262735,28.4928878,18.0,False
Unnamed settlement,square,-16.2256655,28.4921147,24.0,False
Parque El Puertito,square,-16.3768682,28.2942517,2.0,False
Plaza de San Sebastián,square,-16.849983,28.3702191,126.0,False
Plaza de San Antonio,square,-16.4564771,28.4386341,515.0,False
Plaza Cuchareras,square,-16.4504706,28.4512318,501.0,False
Plaza de Chío,square,-16.7965513,28.2357833,664.0,False
Plaza de España,square,-16.7239881,28.1231654,297.0,False
Plaza San Juan Bautista de La Salle,square,-16.2570125,28.4637382,48.0,False
Ojos de Garza,suburb,-15.3945888,27.9464847,59.0,False
Urbanización Ojos de Garza,neighbourhood,-15.3951543,27.9513988,52.0,False
Plaza de los Cantos Canarios,square,-16.2693142,28.4637746,116.0,False
Plaza Las Portelas,square,-16.8423435,28.3256307,763.0,False
Unnamed settlement,neighbourhood,-16.2618716,28.4826706,324.0,False
Plaza Residencial Anaga,square,-16.2442717,28.4800926,29.0,False
Loma de Juan Lorenzo,locality,-16.7337909,28.1825969,1127.0,False
Plaza Santa Cruz del Norte,square,-16.254329,28.4690295,49.0,False
Plaza 18 de Julio,square,-16.4079377,28.3152713,258.0,False
Lomo el Cardón,locality,-16.716857,28.1004059,230.0,False
Lomo de los Rivero,locality,-16.3243587,28.5255666,615.0,False
Lomo Blanco,locality,-16.2139599,28.5609804,178.0,False
Plaza de San Benito,square,-16.3262147,28.4901961,573.0,False
Morro de las Arenas,locality,-16.6108247,28.151164,1369.0,False
Morro el Pinalete,locality,-16.6032192,28.1475364,1297.0,False
Plaza del Tranvía,square,-16.2862488,28.4684678,321.0,False
Lomo los Perros,locality,-16.4319931,28.4636906,544.0,False
Urbanización Terrasol,neighbourhood,-16.6447468,28.0137606,23.0,False
Urbanización Santa Marta,neighbourhood,-16.6451221,28.012333,18.0,False
Urbanización Tamaide,neighbourhood,-16.6430047,28.0106686,24.0,False
Urbanización Caviotas,neighbourhood,-16.640907,28.011018,22.0,False
Urbanización Coral Mar,neighbourhood,-16.6408493,28.0118927,26.0,False
Urbanización Chayofita,neighbourhood,-16.6428764,28.0120561,28.0,False
Urbanización San Miguel,neighbourhood,-16.6466256,28.0140304,23.0,False
Urbanización Santa Ana,neighbourhood,-16.6469229,28.0126174,15.0,False
Plaza de San Pedro,square,-16.411238,28.3157639,286.0,False
Plaza del Ayuntamiento,square,-16.4112181,28.3144827,282.0,False
Unnamed settlement,square,-16.4106915,28.3226296,314.0,False
Plaza del Obispo Pérez Cáceres,square,-16.4118372,28.3160791,294.0,False
Plaza de la Constitución,square,-16.4386345,28.2360656,425.0,False
Unnamed settlement,square,-16.2845493,28.4701663,308.0,False
Unnamed settlement,islet,-16.7257948,28.0715469,49.0,False
Plaza San Sebastián,square,-16.5214783,28.3937283,337.0,False
Unnamed settlement,square,-16.4557206,28.4528491,410.0,False
Lomo Itote,locality,-16.4610319,28.3925135,1394.0,False
Lomo las Raíces,locality,-16.4607636,28.3950691,1343.0,False
Plaza Doctor Pérez Cáceres,square,-16.6367387,28.1593889,1420.0,False
Plaza América,square,-16.7201785,28.3677165,223.0,False
Plaza Santa Catalina,square,-16.6565672,28.3902583,119.0,False
Plaza García Estrada,square,-16.5853539,28.3890832,250.0,False
Plaza de la Lealtad,square,-17.7869086,28.6625313,350.0,False
Plaza de San José,square,-16.3336434,28.4251643,446.0,False
Guía de Isora,town,-16.7787271,28.2101368,594.0,False
Unnamed settlement,square,-15.4513489,27.8374904,100.0,False
Arafo,village,-16.4173287,28.3404454,452.0,False
Plaza San Miguel,square,-17.9334889,28.6409503,116.0,False
La Pared de Casao,locality,-16.764361,28.212909,775.0,False
Lomo el Trigo,locality,-16.763331,28.2144476,811.0,False
Morro la Campana,locality,-16.765133,28.2150046,786.0,False
Lomo la Muley,locality,-13.9938269,28.6295676,123.0,False
Unnamed settlement,square,-17.8812038,28.6522555,650.0,False
Unnamed settlement,square,-16.6824621,28.3795113,252.0,False
Unnamed settlement,square,-16.7194045,28.363251,305.0,False
Unnamed settlement,square,-16.7236077,28.3676844,196.0,False
Unnamed settlement,square,-16.2700769,28.461398,116.0,False
