name,place,lon,lat,elevation_m,at_risk
Samabula North,suburb,178.443146,-18.1207055,74.0,False
Samabula South,suburb,178.4426138,-18.127631,56.0,False
Raiwasa,suburb,178.4539607,-18.1253389,20.0,False
Bayview Heights,suburb,178.4507849,-18.1188212,35.0,False
Nabua,suburb,178.459471,-18.1184541,13.0,False
Tamavua Heights,suburb,178.4464166,-18.0975737,124.0,False
Unnamed settlement,village,178.620013,-18.0198569,10.0,False
Unnamed settlement,hamlet,178.6084537,-18.103343,3.0,False
Unnamed settlement,hamlet,178.6097154,-18.0982523,6.0,False
Vanuadina,village,178.5893392,-18.0799928,5.0,False
Unnamed settlement,village,178.5704389,-18.0807785,6.0,False
Unnamed settlement,village,178.6250063,-18.0404266,3.0,False
Unnamed settlement,hamlet,178.6184316,-18.0507827,3.0,False
Labasa,town,179.3664854,-16.4332753,5.0,False
Unnamed settlement,island,177.0912247,-12.5263636,0.0,True
Unnamed settlement,islet,177.1396417,-12.5171765,0.0,True
Unnamed settlement,village,-179.0638449,-17.9886546,0.0,True
Unnamed settlement,islet,177.6973863,-18.204654,7.0,False
Unnamed settlement,islet,177.3668,-17.8069919,7.0,False
Unnamed settlement,islet,178.6922141,-18.0095654,9.0,False
Unnamed settlement,islet,178.6613639,-18.0985156,0.0,True
Unnamed settlement,islet,178.6224475,-17.9439698,0.0,True
Unnamed settlement,islet,178.6962658,-17.9965533,0.0,True
Unnamed settlement,islet,178.6933828,-18.0021516,3.0,False
Unnamed settlement,islet,178.6955895,-17.9982011,3.0,False
Yawalo Island,island,177.4676346,-17.5455335,3.0,False
Unnamed settlement,islet,178.9998514,-16.6036705,6.0,False
Unnamed settlement,islet,179.0006819,-16.6047536,4.0,False
Unnamed settlement,island,179.0156581,-16.6030479,5.0,False
Unnamed settlement,islet,178.9990481,-16.5933977,8.0,False
Unnamed settlement,islet,178.9985612,-16.5935622,8.0,False
Vitogo Village,village,177.4952695,-17.5921137,4.0,False
Matawalu,village,177.515556,-17.564444,7.0,False
Natawarau Village,village,177.555556,-17.511667,12.0,False
Votua Lalai,village,177.691798,-18.2034203,6.0,False
Maui Bay,village,177.6764983,-18.2033453,11.0,False
Tagaqe,village,177.6571828,-18.1960413,10.0,False
Mali Island,island,179.352262,-16.3443733,131.0,False
Unnamed settlement,islet,177.6564075,-18.5985439,4.0,False
Unnamed settlement,islet,177.6569051,-18.5973644,0.0,True
Unnamed settlement,village,178.3230465,-17.9768757,42.0,False
Unnamed settlement,hamlet,-178.9886376,-17.3033286,0.0,True
Unnamed settlement,islet,-178.6898627,-20.6016411,0.0,True
Unnamed settlement,islet,-178.6837092,-20.6109039,0.0,True
Unnamed settlement,islet,-178.6981034,-20.6056178,0.0,True
Unnamed settlement,islet,-178.6839006,-20.6089572,0.0,True
Unnamed settlement,islet,-178.6836766,-20.6096656,0.0,True
Malamala Island,islet,177.27509,-17.7237721,6.0,False
Unnamed settlement,islet,178.1327354,-17.3557394,8.0,False
Unnamed settlement,village,-178.977957,-17.2482913,0.0,True
Susui,village,-178.9500352,-17.3434745,0.0,True
Naviyago Village,village,177.4975291,-17.5890993,4.0,False
Kadavu (Village),village,178.3801337,-19.0373072,0.0,True
Kavala,village,178.4135743,-18.9698992,3.0,False
Nakoro,village,178.375245,-18.9541791,7.0,False
Nubuyanitu,village,177.8838043,-17.8997468,123.0,False
Vatubalavu,village,177.8075685,-17.8738879,57.0,False
Numuamua,village,178.0607935,-18.0938846,40.0,False
Barotu Village,village,178.2385561,-17.4883622,5.0,False
Unnamed settlement,islet,-178.4742984,-18.4315516,0.0,True
Unnamed settlement,islet,-178.4765733,-18.4326301,0.0,True
Unnamed settlement,islet,-178.4763982,-18.432819,0.0,True
Unnamed settlement,islet,-179.5289445,-17.241969,0.0,True
Unnamed settlement,islet,-178.465436,-18.4402206,0.0,True
Unnamed settlement,island,178.7415655,-17.6941455,0.0,True
Unnamed settlement,island,179.0201546,-16.895455,14.0,False
Unnamed settlement,islet,179.098281,-16.771156,6.0,False
Unnamed settlement,islet,179.0991218,-16.7714737,4.0,False
Unnamed settlement,islet,179.0989113,-16.7713645,5.0,False
Unnamed settlement,islet,178.9370134,-16.8900008,0.0,True
Unnamed settlement,islet,179.5886647,-16.8063803,0.0,True
Unnamed settlement,islet,179.5637292,-16.8054854,0.0,True
Sasa,village,179.1672883,-16.4267393,7.0,False
Unnamed settlement,islet,179.314084,-16.4047894,0.0,True
Unnamed settlement,islet,179.3152857,-16.4087156,0.0,True
Unnamed settlement,islet,179.313663,-16.4080733,0.0,True
Unnamed settlement,islet,179.377346,-16.4652772,4.0,False
Unnamed settlement,islet,179.728447,-16.4662907,3.0,False
Unnamed settlement,hamlet,179.6409752,-16.5035986,6.0,False
Unnamed settlement,islet,179.5961497,-16.2377192,3.0,False
Unnamed settlement,islet,179.5919172,-16.2346419,4.0,False
Unnamed settlement,island,179.8490828,-16.2141206,13.0,False
Unnamed settlement,island,179.8564803,-16.2145089,9.0,False
Unnamed settlement,islet,179.8515363,-16.2081273,0.0,True
Unnamed settlement,islet,179.8656178,-16.2064692,0.0,True
Fiji,country,179.0122737,-18.1239696,0.0,True
Drekeniwai Village,village,179.6782443,-16.6735994,10.0,False
Sawakasa Vou Village,village,178.5298115,-17.7678651,17.0,False
Burerua Village,village,178.5335827,-17.7672496,10.0,False
Oneva,suburb,179.3883633,-16.799033,48.0,False
Maravu,suburb,179.4438703,-16.8059873,99.0,False
Wavi Island,island,179.4116306,-16.8023226,17.0,False
JMC Resort,suburb,179.2867956,-16.8140905,7.0,False
Sekawa,suburb,179.2908124,-16.6987668,64.0,False
Lomalagi Resort,hamlet,179.5077399,-16.7624422,38.0,False
Muana Village,village,178.536682,-18.0416911,10.0,False
Nausori Village,village,178.5339105,-18.0290715,8.0,False
Nausori Village,village,178.5330151,-18.0302454,8.0,False
Tamavua-i-wai,hamlet,178.4332882,-18.1144881,4.0,False
Unnamed settlement,island,177.9685293,-18.263178,0.0,True
Savusavu,town,179.3328955,-16.7802184,12.0,False
Nukumbalavu Village,village,179.3149965,-16.814181,11.0,False
Koro Sun Resort,suburb,179.4240373,-16.7979822,10.0,False
Tropic Splendor,hamlet,179.2842152,-16.7009618,2.0,False
